510,0,0,0,0,1,0,1,4,16,43,31,22,11,6,1,23,10,13,12,3,4,13,47,20,4,6,6,1,6,53,253,0,17,92,121,92,70,148,88,0,5,14,35,27,26,39,129,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
223,212,102,106,97,36,11,2,10,2,2,3,0,1,1,0,10,8,6,10,10,5,5,3,12,8,33,48,79,117,117,117,29,34,42,65,69,94,112,87,18,12,5,5,3,4,6,5,6,1,0,0,0,0,0,1,25,3,1,1,1,0,0,0
202,440,68,20,9,4,0,1,52,79,38,31,35,3,1,1,11,19,26,74,116,35,8,0,28,18,38,34,26,7,1,0,16,44,63,62,8,3,0,5,42,92,33,13,5,2,0,0,21,25,105,3,0,0,0,0,11,8,16,6,11,5,0,1
298,61,2,0,0,0,0,0,128,6,0,0,0,0,0,0,28,2,1,0,0,0,0,0,171,51,6,0,0,0,0,0,117,279,60,6,0,1,0,0,37,55,17,17,61,223,278,59,17,2,2,0,0,0,0,0,36,2,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,472,480,128,31,42,4,2,18,30,188,204,147,108,63,0,13,22,12,6,0,2,2,0,1,0,4,0,0,0,2
1002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,225,2,0,0,0,0,0,0,208,56,26,17,33,15,74,339,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,28,22,5,0,0,0,0,0,15,182,172,76,16,0,0,0,19,167,318,289,194,119,29,0,1,18,18,18,16,11,0,0,1,10,13,17,19,27,68,110,4,5,4,5,2,1,2,0,1,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,0,0,1,0,0,0,0,1267,42,1,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
30,2,1,1,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,51,16,11,17,0,0,0,0,182,6,16,0,0,0,0,0,70,7,8,1,4,0,2,0,102,28,20,12,17,9,8,5,320,270,245,265,239,37,0,0
529,94,43,6,0,1,1,2,293,36,13,3,5,3,0,3,54,4,2,2,1,0,0,2,144,13,3,1,1,2,0,4,85,54,113,170,141,85,48,30,5,1,0,0,0,1,1,2,1,0,1,1,0,0,0,1,18,0,0,0,0,0,0,2
66,271,274,84,34,22,15,16,38,16,13,11,6,5,5,0,22,11,20,49,63,23,6,0,38,24,15,21,26,5,4,0,15,30,37,44,48,88,75,93,12,33,89,53,27,35,22,13,9,14,13,3,3,2,1,9,11,13,14,7,2,1,4,2
89,67,127,64,208,311,102,3,12,3,3,3,0,0,0,1,9,3,2,1,0,0,0,0,51,20,3,9,1,4,0,1,239,199,87,13,8,6,3,0,96,58,28,15,51,38,6,0,26,9,1,1,0,1,0,1,14,12,9,3,2,1,0,1
